微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
今天又是网友忙碌的一天，先去卓伟微博看视频。再去白百何微博质问为何出轨。然后再去陈羽凡微博安慰一下。接着再去白百何的战友陈赫 ，文章 微博下再看看。接着去高虎微博告诉他们吸毒队要加油了。再去黄海波微博让他们嫖娼队不能松懈。这忙碌的一天下来，天都该黑了。@菠萝网红孵化器,2017-04-12 14:01,iPhone 6 Plus,http://weibo.com/2340649835/EE9Ru8yUZ,山西新媒体联盟,14368,男,山西 太原,普通用户,转发,#圈里捞点娱##白百合出轨# 文章，马伊琍，姚笛，白百何，陈羽凡，张子萱……《失恋33天》剧组有毒！卓伟12年大料曝光！白百何出轨小鲜肉http://t.cn/RXwVqSi ?,振华工作室iPhone 6 Plus,2017-04-12 13:44,张振华,http://weibo.com/1981802133/EE9KmDisW
【今天的热搜榜有意思了：卓伟 白百何 陈羽凡三爆热搜！[吃驚]】白百何被卓伟团队独家爆料称，白百合与某小鲜肉同游泰国，两人在泳池边亲密戏水，某些画面实在辣眼睛。白百何和陈羽凡一直是模范夫妻，现在闹这么一出究竟有何内幕？同时还有其他爆点共存，微博界有意思了。[思考]http://t.cn/RXwIcYw ?,2017-04-12 13:59,iPhone 6,http://weibo.com/1642030665/EE9QIeXbO,家人杂志,3560134,女,重庆 渝北区,媒体认证,原创,,,,,
#白百合##白百何出轨##卓伟#,2017-04-12 13:59,iPhone 7 Plus,http://weibo.com/1936004331/EE9QN3IDl,王婕卿,110699,女,黑龙江 哈尔滨,名人认证,转发,据说 此位是 白百合 出轨的男生 @张爱朋 ~ 白百合 白百何 百合奈我何~ ?,iPhone 7 Plus,2017-04-12 13:48,王婕卿,http://weibo.com/1936004331/EE9Mjg0JR
[围观][围观][围观],2017-04-12 13:58,微博 weibo.com,http://weibo.com/1801487174/EE9Q8wYJN,东方财富网,1330972,男,上海,媒体认证,转发,白百合出轨：红墙股份成交放量，梦百合、百合花走低翻绿[doge][doge] ?,iPhone SE,2017-04-12 13:57,财富号,http://weibo.com/6134218880/EE9PElO2d
"#白百合出轨#  最近总感觉有大事发生，看来我的预感也比较正确啊！
不过还是《失恋33天》的导演比较厉害！！[good][good]
......
对了，最近忘记给你们抽奖了，等下一个大事公布#弯一点，更精彩# ，就给你们来一波福利。[爱你][爱你] ?",2017-04-12 13:58,360安全浏览器,http://weibo.com/2262453100/EE9Qbc74D,邦克仕Benks,131814,男,广东 深圳,企业认证,原创,,,,,
白百合跟ofo挺像的：黄、共享、可以骑。 ?,2017-04-12 13:58,iPhone 6s,http://weibo.com/1098618600/EE9Qn0ojK,银教授,6592830,男,广东 深圳,名人认证,原创,,,,,
#1024微八卦# 视频[笑cry]泳池边与帅哥…今天中午卓伟曝光了女明星白百何出轨铁证，泳池边与帅哥做不可描述的事[污]白百合出轨，那么电影失恋33天的剧组真厉害了，姚笛，文章，白百合，马伊琍，陈羽凡，张子萱[拜拜] ???，这世道厉害了[二哈]#白百何出轨#  http://t.cn/RXwJcFw ?,2017-04-12 13:56,iPhone 7 Plus,http://weibo.com/1923969675/EE9Pivh7r,河北音乐广播,1769394,女,河北 石家庄,媒体认证,原创,,,,,
#白百何出轨#卓伟爆白百合出轨小鲜肉视频[doge]视频中显示：该男子与白百何在泳池边玩耍，白百何为男子拍多张照片，两人亲密贴耳交谈。随后，男子竟在泳池边发生生理反应，雄起了！白百何拿手戳向男子下身。随后又靠在白百何手臂，白百何转头亲了一口。心疼陈羽凡http://t.cn/RXwIcYw ?,2017-04-12 13:55,微博 weibo.com,http://weibo.com/1787538763/EE9OW3Lmd,宁波同城会,301333,男,浙江 宁波,媒体认证,原创,,,,,
你们股民的逻辑，我也不是很懂[微笑],2017-04-12 13:55,iPhone SE,http://weibo.com/1661268445/EE9P169dE,丁雁,35263,女,福建 福州,名人认证,转发,【白百合出轨：红墙股份放量走高 梦百合、百合花走低翻绿】周三午后，出轨概念股红墙股份放量走高，涨近2%。目前与白百合名称相仿的个股百合花、梦百合均走低翻绿。消息面上，据全明星探爆料，知名女星白百何疑似出轨。#白百何出轨#http://t.cn/RXw6A8I ?,专业版微博,2017-04-12 13:40,新浪财经,http://weibo.com/1638782947/EE9ITFBYn
#圈里捞点娱##白百合出轨# 文章，马伊琍，姚笛，白百何，陈羽凡，张子萱……《失恋33天》剧组有毒！卓伟12年大料曝光！白百何出轨小鲜肉[围观]卓伟爆白百何疑似出轨，泰国约会神秘小鲜肉泳池戏水，,2017-04-12 13:55,iPhone 6 Plus,http://weibo.com/1737956940/EE9P13BDe,太原人论坛网,153550,女,山西 太原,网站认证,转发,#圈里捞点娱##白百合出轨# 文章，马伊琍，姚笛，白百何，陈羽凡，张子萱……《失恋33天》剧组有毒！卓伟12年大料曝光！白百何出轨小鲜肉http://t.cn/RXwVqSi ?,振华工作室iPhone 6 Plus,2017-04-12 13:44,张振华,http://weibo.com/1981802133/EE9KmDisW
