微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
//@槍鉋玫瑰: 哈哈，太监们也总以为自己和皇上是一家呢//@末末233:笑尿，一个个连国家的概念都说不出来的人在这里说爱国。你也配姓赵？,2017-03-02 20:47,华为P8,http://weibo.com/1708242847/ExXZZ1RT5,刘力博士,660594,男,北京 海淀区,名人认证,转发,动不动抵制乐天的人都是什么鬼呢？虚伪的爱国者？投机倒把的商人？还是唯恐天下不乱的二货呢？那些年抵制的家乐福、麦当劳、肯德基、沃尔玛、日本汽车……如果这些企业全部都撤离中国，会有多少我中华同胞失业？谁想过？别拿着无知当爱国，这种跳梁小丑的行为除了给爱国抹黑，毛用木有…… ​,iPhone 6s Plus,2017-03-02 09:16,袁国宝,http://weibo.com/1197863207/ExTtgeMYK
#南通身边事# 【网民强烈呼吁抵制 南通乐天门店不“乐天”】据了解，南通目前共有8家乐天玛特门店，经营状况大多并不乐观。这次乐天集团卷入“萨德”事件，更让这些门店在南通的经营前景蒙上阴霾。http://t.cn/RixCORa ​,2017-03-02 20:46,360安全浏览器,http://weibo.com/1734878455/ExXZsx6CD,南通电视台,320035,男,江苏 南通,媒体认证,原创,,,,,
【商务部回应“乐天”事件：外企在华经营须依法合规】针对韩国军方与乐天集团签署部署“萨德”换地协议一事，商务部新闻发言人孙继文2日表示，中方对此坚决反对。关于乐天集团的问题，孙继文强调，中国政府重视对韩经贸合作，中方欢迎包括韩国企业在内的外国企业来华投资兴业，并始终保护外国企业在华...全文： http://m.weibo.cn/1855514017/4080954073107652 ​,2017-03-02 20:45,微博 weibo.com,http://weibo.com/1855514017/ExXZ5d2rq,经济参考报,249974,男,北京,媒体认证,原创,,,,,
【财新晚报TOP 3】①回应乐天遭抵制 中方：外企在华成就由中国市场决定；②2016年非法集资近万件 将出台处置条例；③今年居民医保补助增至人均450元 每年4000多亿补贴流入。财新晚报为财新网App专属新闻产品，精选财新网最有料，最优质内容，吐血推荐，下载猛戳：http://t.cn/RAPM94U ​,2017-03-02 20:44,微博 weibo.com,http://weibo.com/1663937380/ExXYIssR1,财新网,2396295,男,北京,媒体认证,原创,,,,,
【乐天为“萨德”供地 实拍旗下超市遭遇寒流↓↓↓】近日，国内的乐天超市遭到了广大消费者的抵制。记者今天走访省内多家乐天玛特超市，发现自抵制事件发生后，超市人流量明显少了不少。顾客称，自己坚决抵制，最好能把乐天撤了，换成别的超市。http://t.cn/Rix9H9A  http://t.cn/Rix9H9z ...全文： http://m.weibo.cn/1796087453/4080952688926876 ​,2017-03-02 20:40,微博 weibo.com,http://weibo.com/1796087453/ExXWQBshS,江苏网络电视台,614901,男,江苏 南京,媒体认证,原创,,,,,
嫌外资太多了 //@樊建川://@私家野史:应该宣布:谁去乐天，无论是购物、供货还是上班，谁就是卖国贼，杀无赦!,2017-03-02 20:39,iPhone 6 Plus,http://weibo.com/1235259942/ExXWrf5uK,喻海文,46570,男,广东 广州,名人认证,转发,【民族的终归是民族的 “辣条界扛把子”宣布退出乐天超市】有网友爆料：武汉乐天玛特内卫龙辣条全部撤柜，“一根辣条都不给乐天留”。@卫龙食品 1日称，传闻除地点有误外其他均属实，目前已撤架的乐天玛特为江苏盐城，不过全国范围乐天玛特渠道已按程序陆续下架，今后将不再与乐天合作。 ​,新媒体聚合平台,2017-03-02 08:52,人民日报,http://weibo.com/2803301701/ExTjEhKZP
韩国乐天集团中国业务主要分布在北京、天津、上海、河北、东三省、山东、江苏、浙江、四川、重庆等地。乐天在中国生产和销售的产品包括食品、饮料、化工、金融、免税店、商业零售，其中，乐天在中国的卖场多达100多个。 乐天在华企业名录全曝光 中国消费者贡献近1/3销售额 http://t.cn/RixPNU7 ​,2017-03-02 20:38,分享按钮,http://weibo.com/1227422602/ExXWgfkQb,董登新专栏,87061,男,其他,名人认证,原创,,,,,
我参与了@头条常州 发起的投票 【这样的乐天你还去吗?】，我投给了“坚决抵制。不准一边伤害中国，一边挣我们钱”这个选项。你也快来表态吧~http://t.cn/RiIamnW ​,2017-03-02 20:36,投票,http://weibo.com/3199839181/ExXVlgXKe,吃喝玩乐常州,269733,女,江苏 常州,名人认证,原创,,,,,
[围观],2017-03-02 20:33,iPhone 6 Plus,http://weibo.com/1235259942/ExXUfiVSc,喻海文,46570,男,广东 广州,名人认证,转发,【安徽芜湖查处“乐天玛特”非法设置无线电台】2月28日下午，芜湖无线电管理处技术人员监测到一组未经批准的异常信号，确定为非法信号，经查，芜湖中央城商业区乐天玛特超市中央城店非法设台，芜湖无线电管理处根据《中国人民共和国无线电管理条例》，对该店作出没收全部30台无线电发射设备和罚款2万元...全文： http://m.weibo.cn/1142648704/4080946485430361 ​,微博 weibo.com,2017-03-02 20:15,鲁国平先生,http://weibo.com/1142648704/ExXMQmMGt
我們熱愛中華民族… 對于不尊重因果，不懂得懺悔的國家，我們應該抵制…,2017-03-02 20:33,小米5s 拍照黑科技,http://weibo.com/1850014280/ExXUawE4D,善导功德,42160,男,上海 静安区,普通用户,转发,【那些年我们一起抵制过的洋货和外企】随着乐天让地“萨德”，中国的反对和抗议声越来越激烈。“爱国人士”抵制的黑名单上，日本一直都是冠军。外企在中国获得巨大利润，但同时也应该考虑中国人民的感情。如果做出罔顾中国国家安全和利益的事，那中国消费者有权利拒绝自己讨厌的。http://t.cn/RiIfnn1 ​,微博 weibo.com,2017-03-01 21:47,中国之声,http://weibo.com/1699540307/ExOXKg0fR
