微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
//@刘力博士: 对流氓行经必须维权//@Bleepingtree:支持乐天，支持这家做正当生意的韩国企业。[赞][赞][赞]……,2017-03-06 23:59,微博 weibo.com,http://weibo.com/1867099473/EyAXNddQl,张洲,653596,男,其他,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
乐天 玛特，这几天沸沸扬扬。,2017-03-06 23:57,OPPO R9s,http://weibo.com/2123798095/EyAX20fjJ,一横一竖先生,44227,男,广东,名人认证,转发,因为韩国说要部署萨德，国人开始抵制乐天！如果韩国部署了萨德，大家猜会是什么结果？[思考] ​,OPPO R7s Plus,2017-03-06 01:42,周李城,http://weibo.com/2109287495/Eysda2Mgg
//@雷颐: //@静娅_://@漫游者粒子: 转发微博,2017-03-06 23:53,360安全浏览器,http://weibo.com/1418036855/EyAVohIdb,眠琴山房,2184672,男,北京 朝阳区,名人认证,转发,据说抵制乐天发端于东北，作为土生土长的东北人我无法理解。别的地区抵制也就罢了，反正自己远离危险。抵制韩国是老太太吃柿子，专拣软的捏（真有本事真牛逼你抵制美国啊，始作俑者难道不是美制萨德？）。爱国就像是中头彩，不爱白不爱。但是东北人抵制韩国图啥呢？朝鲜每次核爆炸边境境这边都有震感，...全文： http://m.weibo.cn/1063890337/4082132869996418 ​,iPhone 6s Plus,2017-03-06 02:49,洪峰,http://weibo.com/1063890337/EysEmFWwy
#韩国部署萨德# 【乐天让地“萨德”之后，中国人怒了！】自韩国乐天集团同意与韩军方“交换”用地部署萨德后，乐天集团遭到了中国民众的集体抵制。  http://t.cn/RiNK8zn ​,2017-03-06 23:48,专业版微博,http://weibo.com/1823184085/EyATsF2kV,美国侨报网,148014,男,海外 美国,媒体认证,原创,,,,,
 //@静娅_://@漫游者粒子: 转发微博,2017-03-06 23:43,iPhone 6s,http://weibo.com/1045529987/EyARq8y9P,雷颐,3651921,男,北京 丰台区,名人认证,转发,据说抵制乐天发端于东北，作为土生土长的东北人我无法理解。别的地区抵制也就罢了，反正自己远离危险。抵制韩国是老太太吃柿子，专拣软的捏（真有本事真牛逼你抵制美国啊，始作俑者难道不是美制萨德？）。爱国就像是中头彩，不爱白不爱。但是东北人抵制韩国图啥呢？朝鲜每次核爆炸边境境这边都有震感，...全文： http://m.weibo.cn/1063890337/4082132869996418 ​,iPhone 6s Plus,2017-03-06 02:49,洪峰,http://weibo.com/1063890337/EysEmFWwy
韩国乐天集团旗下零食： 好丽友；好友趣；好多鱼；呀土豆；木糖醇3+口香糖；蘑古力；薯愿、小熊饼干。抵制乐天是正确的选择，韩国已经同意萨德部署，日本也会紧跟其后，如果菲律宾也同意的话 ，萨德就会把中国围成一个圈，那以后中国的一举一动在美国人面前都像没穿衣服的人一样，被看的清清楚楚，中国...全文： http://m.weibo.cn/1807717673/4082447601538798 ​,2017-03-06 23:40,三星 GALAXY S6 edge+,http://weibo.com/1807717673/EyAQ06sjk,演员傅大勇,14311,男,北京,名人认证,原创,,,,,
[赞],2017-03-06 23:39,华为P9手机摄影再突破,http://weibo.com/1044065881/EyAPIDfJr,唐亮,920748,男,北京 崇文区,名人认证,转发,【乐天会长说中国人没骨气？我们反对韩国部署，也需要辨别这些谣言】在当前的舆论环境下，与韩国相关的谣言很容易在互联网上获得传播。我们坚决反对韩国部署萨德，因为这损害了中国的根本利益，但我们也呼吁大家理性爱国，随时擦亮眼睛，不要信谣、不传谣。 http://t.cn/RiNtRto ​,iPhone 7 Plus,2017-03-06 22:45,新京报,http://weibo.com/1644114654/EyAtO22Pw
//@深夜走过长安街001:微信没法看，时常遇见多少年的弱智老谣都还在有人传。[笑cry] //@手术刀_李医生: 曾在微信中告知是假新闻，传的更疯狂，邪性。微信的朋友圈盛产谣言。,2017-03-06 23:34,三星GALAXY A,http://weibo.com/1682087151/EyANH7s4B,水兵李铭,17531,男,上海 松江区,名人认证,转发,《乐天董事长说中国人没骨气？这条假新闻咋产生》http://t.cn/RiCSgkt——— 那话一看就是有人故意编的呀，跟前几年流传的希拉里说中国人的段子一样，外国人编不出来，一看就是出自国人之手。居然也有人真信。邪性。 ​,微博 weibo.com,2017-03-06 22:20,深夜走过长安街001,http://weibo.com/5051675817/EyAjL5xmm
对流氓行经必须维权//@Bleepingtree:支持乐天，支持这家做正当生意的韩国企业。[赞][赞][赞]……,2017-03-06 23:30,华为P8,http://weibo.com/1708242847/EyAMcyp7T,刘力博士,661003,男,北京 海淀区,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
造谣可耻！,2017-03-06 23:30,iPad mini,http://weibo.com/1904509253/EyAM1CiIx,行者孙凯,50535,男,上海 徐汇区,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
//@雷颐: 转发微博,2017-03-06 23:30,360安全浏览器,http://weibo.com/1418036855/EyALUfb8q,眠琴山房,2184672,男,北京 朝阳区,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
被故意传播的谣言。,2017-03-06 23:29,三星GALAXY A,http://weibo.com/1682087151/EyALz1VxF,水兵李铭,17531,男,上海 松江区,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
造谣乐天董事长看不起中国人订制乐天的新浪微博那作家，微博账号已经被封杀，有些人唯恐天下不乱，必须打击。 ​,2017-03-06 23:28,iPhone客户端,http://weibo.com/1556349391/EyAL0t3ou,漫长岁月,12710,男,上海 宝山区,名人认证,原创,,,,,
转发微博,2017-03-06 23:28,iPhone 6s,http://weibo.com/1045529987/EyALiaVSB,雷颐,3651921,男,北京 丰台区,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
转发微博,2017-03-06 23:28,iPhone 6 Plus,http://weibo.com/1235259942/EyAL2tZ82,喻海文,46570,男,广东 广州,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
【 外交部回应“20家乐天玛特停业”：企业在华经营须合规 】   http://t.cn/RiN6BQm ​,2017-03-06 23:27,南海网_客户端,http://weibo.com/2120159545/EyAKFaOHi,南海流,40588,男,海南 海口,名人认证,原创,,,,,
爱我中华 抵制韩货！ 天猫 京东下架乐天产品！！！ ​,2017-03-06 23:25,三星android智能手机,http://weibo.com/3237428272/EyAJOfKRT,Yim飞吧,35,男,北京 朝阳区,普通用户,原创,,,,,
转发微博,2017-03-06 23:18,HUAWEI Mate 9,http://weibo.com/1745869612/EyAHkkWGE,张培毅,53194,男,其他,名人认证,转发,【外交部回应20家乐天玛特停业】据报道，韩国决定部署“萨德”系统后，中国国内20余家乐天玛特超市突然停业。外交部发言人耿爽今日称，中方欢迎包括韩国企业在内的外国企业在华投资兴业，依法保护外国企业在华合法权益。同时，有关企业在华经营也必须依法合规。http://t.cn/RiC1IXc ​,微博 weibo.com,2017-03-06 20:59,头条新闻,http://weibo.com/1618051664/EyzMBChR6
转发微博,2017-03-06 23:17,华为Ascend Mate7,http://weibo.com/1214461075/EyAGTaN2w,作家谢宏,42441,男,广东 深圳,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
不要脸的就不在乎打脸[哈哈]。 //@爱飞的博文:回复@静静行走寂静花开:你用着三星note5还骂别人汉奸？你是蠢还是啥，微博暴露你的手机型号，先砸了，在爱国。 //@静静行走寂静花开:顶你上去多挨点骂你就清醒了。,2017-03-06 23:14,iPhone 6s Plus,http://weibo.com/1063890337/EyAFz0PjA,洪峰,2138024,男,云南 曲靖,名人认证,转发,据说抵制乐天发端于东北，作为土生土长的东北人我无法理解。别的地区抵制也就罢了，反正自己远离危险。抵制韩国是老太太吃柿子，专拣软的捏（真有本事真牛逼你抵制美国啊，始作俑者难道不是美制萨德？）。爱国就像是中头彩，不爱白不爱。但是东北人抵制韩国图啥呢？朝鲜每次核爆炸边境境这边都有震感，...全文： http://m.weibo.cn/1063890337/4082132869996418 ​,iPhone 6s Plus,2017-03-06 02:49,洪峰,http://weibo.com/1063890337/EysEmFWwy
转发微博,2017-03-06 23:13,iPhone 6 Plus,http://weibo.com/1568078100/EyAFitmlo,真诚清净,713011,男,陕西 西安,名人认证,转发,【韩星州居民反对萨德征地：斗争到底】韩国政府近期开始在星州原乐天高尔夫球场附近建设隔离工事，并调动警力及直升机限制附近居民出入。当地居民们表示：“这是非法的行为，我们将用尽一切方法抗争到底。” #低调炫技# http://t.cn/RiNx5rR ​,热门微博Android,2017-03-06 23:09,王朔看天下,http://weibo.com/3180541260/EyADx4QZK
中国游客还多吗？记者探访乐天店 http://t.cn/Ri9B6QR ​,2017-03-06 23:12,ZAKER新闻杂志,http://weibo.com/1884245222/EyAExbNsw,ZAKER新闻频道,12701,男,广东,网站认证,原创,,,,,
"地铁上听到两个人在对话：
甲：你抵制韩国抵制乐天了吗？
乙：为什么要抵制？
甲：你不知道美国在韩国安置萨德，意欲对中国图谋不轨，韩国乐天把一块地提供给美国用于安置萨德！
乙：那为什么我们不抵制美国呢？
……这个问题我也被难住了。这个对话有些道理在里面。@人民日报@中国政府网 ​",2017-03-06 23:05,荣耀7 世界有点不同,http://weibo.com/1661101824/EyABVeDb6,中品传媒CBCM,14583,男,江苏 无锡,名人认证,原创,,,,,
【乐天在中国的485亿生意何去何从？记者深度解构财务报表，告诉你一个真实的乐天】作为韩国五大企业之一，乐天在华业务的失败，将令其本已糟糕不堪的财务报表雪上加霜。那么，乐天旗下的主营业务，诸如食品、超市的历史盈利状况如何？在华业务的失败对乐天影响几何？国际金融报记者通过深度分析乐天的...全文： http://m.weibo.cn/1872005590/4082438521401030 ​,2017-03-06 23:04,搜狗高速浏览器,http://weibo.com/1872005590/EyABm5Stg,国际金融报,1143080,男,上海 浦东新区,媒体认证,原创,,,,,
乐天董事长说中国人没骨气？这条假新闻咋产生 @辛辣头条  （分享自 @新浪新闻） http://t.cn/RiCSgkt ​,2017-03-06 23:02,新浪新闻中心,http://weibo.com/1029478847/EyAAt5jPK,杜桥主播,41633,男,辽宁 沈阳,名人认证,原创,,,,,
？//@王小山:其实还是挺缺的。//@404被消失了: 回复@谷村吼卵:有民意基础的嗯哼//@谷村吼卵:回复@404被消失了:中国还真不缺这点外资,2017-03-06 23:01,HUAWEI Mate 8,http://weibo.com/1665681810/EyAAlatNi,张欧亚,85850,男,湖北 十堰,名人认证,转发,【外交部回应20家乐天玛特停业】据报道，韩国决定部署“萨德”系统后，中国国内20余家乐天玛特超市突然停业。外交部发言人耿爽今日称，中方欢迎包括韩国企业在内的外国企业在华投资兴业，依法保护外国企业在华合法权益。同时，有关企业在华经营也必须依法合规。http://t.cn/RiC1IXc ​,微博 weibo.com,2017-03-06 20:59,头条新闻,http://weibo.com/1618051664/EyzMBChR6
下架乐天商品最全企业名单大曝光：天猫、京东、大润发都在....._帝国通网-帝国通-定州资讯网-定州信息网-定州资讯-定州新闻 http://t.cn/RiNIyQI ​,2017-03-06 23:00,JiaThis分享按钮,http://weibo.com/2016963363/EyAA2c70p,肖猛微博,323,男,北京 东城区,普通用户,原创,,,,,
这辈子再不买一件乐天的产品，无需点赞，懂我的跟我一起做起来！ ​,2017-03-06 22:58,iPhone 7,http://weibo.com/1211836225/EyAz2ryYq,杨雪,460153,女,北京 东城区,名人认证,原创,,,,,
乐天否认会长谈中国人抵制萨德：对中国怀有情义 http://t.cn/RiNUROm ​,2017-03-06 22:58,ZAKER新闻杂志,http://weibo.com/1884245222/EyAyQ4Dbm,ZAKER新闻频道,12701,男,广东,网站认证,原创,,,,,
回复@小巴巴爱美丽:[good][good][good]//@小巴巴爱美丽:明儿我就把我这韩式半永久洗了去，国家面前无眉毛！！！,2017-03-06 22:57,iPhone 6s,http://weibo.com/1867427515/EyAyCa0hM,潍坊电视台直播潍坊,464866,女,山东 潍坊,媒体认证,转发,【乐天：对中国始终怀有深深情义 做了千万元公益】针对近日网上有关“乐天会长谈中国人抵制萨德”的传言，韩国乐天集团发布澄清声明，“无中生有、违背常理”，并强调对韩国政策决定“没有选择”，乐天对中国始终怀有深深的情义，近几年对公益投入超千万元。http://t.cn/RiNyfrP ​,专业版微博,2017-03-06 22:11,一点资讯,http://weibo.com/3515267842/EyAg3etBk
是enjoy,2017-03-06 22:56,微博 weibo.com,http://weibo.com/2261077442/EyAy2FSqK,大灿灿Gilbert-,4374,男,广东 揭阳,高级达人,转发,#乐天滚出中国# 今儿毛概讲时事热点，我讲了《为什么中国人抵制乐天》，从十分钟讲到20分钟哈哈哈，很enjoin哈哈哈哈，就一个人在瞎逼逼，但是有小紧张，讲的有点断断续续，特么最坑爹讲完下来我才发现我没按到放映...................... ​,微博 weibo.com,2017-03-06 21:24,大灿灿Gilbert-,http://weibo.com/2261077442/EyzWIpmUW
《我宣布：乐天正式倒闭！》 http://t.cn/RiNfLA6 ​,2017-03-06 22:55,微博 weibo.com,http://weibo.com/1827730470/EyAxRcvDh,风水命理取名手相易经--林明贤,237020,男,广东 深圳,名人认证,原创,,,,,
为何京东的乐天还没有下架 ​,2017-03-06 22:51,nubia Z11 无边框手机,http://weibo.com/3298521094/EyAwajwMp,非洲猫丫,56,男,北京,普通用户,原创,,,,,
抵制乐天的爱国者无视这些//@顺昌草民:[思考]//@昆明律师龚列钢: 伤天害理 //@红尘药王:那个老汉的衬衣，领子和衣服已经分离，可见他们是多么的贫穷。你们为什么一定要砸掉底层民众的一个破碗。,2017-03-06 22:46,小米手机,http://weibo.com/2539688144/EyAujiQK9,上善若水_无欲则刚007,7672,男,上海,普通用户,转发,对于这种年届70却还在苦苦谋生的老人，你要么就像台湾那样，把他们全部都养起来，要么就允许他们自由谋生，即便是把摊位都摆在政府门口，那又何妨！你们不号称是百姓的衣食父母官嘛，他们若真能得到政府的老有所养，还会如此卑微而低贱地活着吗，草泥马！[怒]  http://t.cn/RciNO05 ​,iPhone客户端,2017-03-06 18:41,礁石怨,http://weibo.com/3742897543/EyySMhaIZ
【乐天否认“会长轻视中国人”传言：对中国始终怀有深深情义】针对近日中国互联网上有关“乐天会长谈中国人抵制萨德”的传言，韩国乐天集团6日给@环球时报 发去澄清声明，该集团同时强调，对韩国政策决定“没有选择”，乐天对中国始终怀有深深的情义。http://t.cn/RiNc7g1 ​,2017-03-06 22:46,微博 weibo.com,http://weibo.com/1887344341/EyAum0HQk,观察者网,1738201,男,上海 黄浦区,网站认证,原创,,,,,
【乐天会长说中国人没骨气？我们反对韩国部署，也需要辨别这些谣言】在当前的舆论环境下，与韩国相关的谣言很容易在互联网上获得传播。我们坚决反对韩国部署萨德，因为这损害了中国的根本利益，但我们也呼吁大家理性爱国，随时擦亮眼睛，不要信谣、不传谣。 http://t.cn/RiNtRto ​,2017-03-06 22:45,iPhone 7 Plus,http://weibo.com/1644114654/EyAtO22Pw,新京报,23392698,男,北京,媒体认证,原创,,,,,
滚！！！//@戴旭网络义勇军壹师:滚！！！,2017-03-06 22:45,Android客户端,http://weibo.com/1067569241/EyAtF9uuh,唐宏杰先生,8548,男,辽宁,名人认证,转发,"致网友的一封信:
作为一个成功的大型企业，我们需要的不光是团结。我们遵守相关国家的法律法规以及政策，爱好世界和平。竭尽全力为各个国家的消费者提供更优良的服务。为的就是能有更多的消费者认可我们乐天集团。
在萨德系统的影响之下，中国以及其他国家对我们集团产生了严重的误会与偏见，我们希望...全文： http://m.weibo.cn/2296488645/4082040146248609 ​",OPPO R9s,2017-03-05 20:41,乐天玛特零售商,http://weibo.com/2296488645/EyqeOqdy1
转发微博,2017-03-06 22:45,三星Galaxy Note II,http://weibo.com/2661298601/EyAtFo0S9,社科专家王暉,28364,男,北京,名人认证,转发,"【乐天会长""嘲讽国人没骨气""又是一条谣言】这条消息却是一条“查无此证”的假新闻。观察者网无法从任何一家媒体（韩文、日文、英文、中文）上查到辛东彬说过这些话，韩国也没有“环球新闻眼”这样一个媒体。http://t.cn/RiCk0w1 各种高级黑！ ​",微博 weibo.com,2017-03-06 21:25,如皋老猫,http://weibo.com/3170766712/EyzX7dDDj
京东下架所有韩国乐天产品 ​,2017-03-06 22:43,iPhone 6 Plus,http://weibo.com/1670531804/EyAt57ESr,慧明Media,8598,男,河北,名人认证,原创,,,,,
转发微博,2017-03-06 22:40,iPhone客户端,http://weibo.com/2217296133/EyArTvWyE,维尼夫妇情感部落,300897,女,上海,普通用户,转发,中国不欢迎这样的 乐天 ，赶紧滚出中国！ http://t.cn/RiKmOVB . ​,三星GALAXY S4,2017-03-06 00:24,逗比彪哥,http://weibo.com/2445414803/EyrHC8LcY
[围观],2017-03-06 22:36,微博 weibo.com,http://weibo.com/1794069633/EyAqeqiQb,山海扫码支付,14829,男,山西,企业认证,转发,【【关注】中国游客还多吗？记者探访韩国仁川机场乐天免税店】同样的忧虑也在位于首尔市中心明洞的乐天免税店内蔓延。虽然相对仁川国际机场乐天免税店而言，这里的人气还算热络，但与四五天前记者到这里采访时相比，顾客人数已经大为减少。 http://t.cn/RiCi76r ​,未通过审核应用,2017-03-06 17:18,姚学福,http://weibo.com/1818206347/Eyyl7fytr
【乐天否认“会长轻视中国人抵制”传言：对中国始终怀有深深情义】近日流传在中国网络的一则消息称，乐天集团会长辛东彬在接受韩国的《环球新闻眼》采访时称，“不用担心，中国人非常市侩，无骨气无血性，我们降价他们就买。我对乐天在中国市场的前景非常乐观。根据以往的经验，他们最多抵制一段时间，...全文： http://m.weibo.cn/1686546714/4082431415779843 ​,2017-03-06 22:35,,http://weibo.com/1686546714/EyApTofBh,环球网,5004883,女,北京 朝阳区,媒体认证,原创,,,,,
@奇闻娱乐：这些消防大队都是好样的，有血有肉的中国好男儿。韩国乐天都说了还有115家，等着你们呢，其他地方的消防队也该醒醒了。,2017-03-06 22:34,iPhone 7 Plus,http://weibo.com/1831651392/EyApsve28,奇闻娱乐,3595,男,河南 济源,高级达人,转发,#民族的终归是民族的#【乐天称中国境内四家超市被查后关闭】韩国乐天集团发言人6日称，乐天玛特在中国辽宁丹东、江苏常州和其他两个地方的四家店被检查后关闭了。今年1月份统计数据显示，乐天玛特在中国大陆还有115家店。http://t.cn/Ri9F4oJ ​,微博 weibo.com,2017-03-06 14:49,头条新闻,http://weibo.com/1618051664/EyxmpbUNY
柳岩同学，听说你最近终于谈恋爱了，挺好的，春天了嘛，必须的。不过还是少去首尔吧，有病的地方去多了容易传染，你经常去的那个水果电视台的肥猪一样的傻逼主持人，不就喜欢给那国明星下跪吗？幸亏中国人里像那主持人的不多，否则还真会给乐天会长那种家伙借口呢，你说对吗？ ​,2017-03-06 22:32,360安全浏览器,http://weibo.com/1677454451/EyAoEAAYD,峨眉武术于铁成,21643,男,四川,名人认证,原创,,,,,
朝方违反安理会规定射导弹加剧局势紧张，有没有爱国人士去朝鲜在华餐厅门口?某些机构有没有出张“你懂的”100多家朝鲜餐厅在华地图?,2017-03-06 22:31,HUAWEI Mate 8,http://weibo.com/2150616260/EyAoeiz3F,醒来的大鸦,53501,男,其他,名人认证,转发,"外交部回应“朝鲜4射弹道导弹”：中方反对朝方违背安理会决议进行有关发射活动。中方也注意到，美韩正在进行针对朝鲜的大规模联合军演。当前形势下，有关各方都应保持克制，不做相互刺激，加剧地区局势紧张的事。
外交部四应“韩国决定部署‘萨德’系统后，中国国内20余家乐天玛特超市突然停业”:中方...全文： http://m.weibo.cn/2150616260/4082422796959122 ​",HUAWEI Mate 8,2017-03-06 22:01,醒来的大鸦,http://weibo.com/2150616260/EyAbZtcnU
//@陇上老马0://@作家杜楠: 回复@老男孩-1973:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈大兄弟我水土不服就服你//@老男孩-1973:犯我中华者，虽远必诛其超市......,2017-03-06 22:31,三星GALAXY A,http://weibo.com/1682087151/EyAog2tRU,水兵李铭,17531,男,上海 松江区,名人认证,转发,【外交部回应“20余家乐天超市突然停业”：企业在华经营必须依法合规】问：韩国决定部署“萨德”系统后，中国国内20余家乐天玛特超市突然停业。中方对此有何评论？答：我们多次说过，中方欢迎包括韩国企业在内的外国企业在华投资兴业，依法保护外国企业在华合法权益。同时，有关企业在华经营也必须依法...全文： http://m.weibo.cn/1642088277/4082399857869199 ​,微博 weibo.com,2017-03-06 20:30,财经网,http://weibo.com/1642088277/EyzAZx18z
其实还是挺缺的。//@404被消失了: 回复@谷村吼卵:有民意基础的嗯哼//@谷村吼卵:回复@404被消失了:中国还真不缺这点外资,2017-03-06 22:31,微博 weibo.com,http://weibo.com/1497390470/EyAo9vn8V,王小山,2169010,男,北京 东城区,名人认证,转发,【外交部回应20家乐天玛特停业】据报道，韩国决定部署“萨德”系统后，中国国内20余家乐天玛特超市突然停业。外交部发言人耿爽今日称，中方欢迎包括韩国企业在内的外国企业在华投资兴业，依法保护外国企业在华合法权益。同时，有关企业在华经营也必须依法合规。http://t.cn/RiC1IXc ​,微博 weibo.com,2017-03-06 20:59,头条新闻,http://weibo.com/1618051664/EyzMBChR6
沭阳人抵制乐天抵制韩货游行现场http://t.cn/RiNGW4y（使用#秒拍#录制，免流量看热门短视频！） ​,2017-03-06 22:31,秒拍安卓版,http://weibo.com/2467703952/EyAo1imEm,两性幽默,216048,女,浙江,普通用户,原创,,,,,
遇见那些公然在自媒体上编造谎话的主，我都是评论“造谣者，死全家。” //@深夜走过长安街001:微信没法看，时常遇见多少年的弱智老谣都还在有人传。[笑cry] //@手术刀_李医生: 曾在微信中告知是假新闻，传的更疯狂，邪性。微信的朋友圈盛产谣言。,2017-03-06 22:31,微博 weibo.com,http://weibo.com/1190573714/EyAobB48q,小树林s,17805,男,海外 德国,名人认证,转发,《乐天董事长说中国人没骨气？这条假新闻咋产生》http://t.cn/RiCSgkt——— 那话一看就是有人故意编的呀，跟前几年流传的希拉里说中国人的段子一样，外国人编不出来，一看就是出自国人之手。居然也有人真信。邪性。 ​,微博 weibo.com,2017-03-06 22:20,深夜走过长安街001,http://weibo.com/5051675817/EyAjL5xmm
【乐天否认“会长轻视中国人抵制”传言：对中国始终怀有深深情义】近日流传在中国网络的一则消息称，乐天集团会长辛东彬在接受韩国的《环球新闻眼》采访时称，“不用担心，中国人非常市侩，无骨气无血性，我们降价他们就买。我对乐天在中国市场的前景非常乐观。根据以往的经验，他们最多抵制一段时间，...全文： http://m.weibo.cn/1974576991/4082429927085653 ​,2017-03-06 22:30,微博 weibo.com,http://weibo.com/1974576991/EyAnutJiJ,环球时报,6827048,男,北京,媒体认证,原创,,,,,
扯啥呢？棒子跟美国已经混了半个多世纪了。才想起来？可笑可悲！ //@寻找翅膀d:打的一拳开，免得百拳来。韩国弄萨德，解放军也有破解之法，不过作为联合国五大流氓之一，不欺负别人已经很委屈了，死棒子既然选择了跟他美爹混，必须打压。你们就别装明白人了，可笑可悲,2017-03-06 22:30,iPhone 6s Plus,http://weibo.com/1063890337/EyAnJglc7,洪峰,2138024,男,云南 曲靖,名人认证,转发,据说抵制乐天发端于东北，作为土生土长的东北人我无法理解。别的地区抵制也就罢了，反正自己远离危险。抵制韩国是老太太吃柿子，专拣软的捏（真有本事真牛逼你抵制美国啊，始作俑者难道不是美制萨德？）。爱国就像是中头彩，不爱白不爱。但是东北人抵制韩国图啥呢？朝鲜每次核爆炸边境境这边都有震感，...全文： http://m.weibo.cn/1063890337/4082132869996418 ​,iPhone 6s Plus,2017-03-06 02:49,洪峰,http://weibo.com/1063890337/EysEmFWwy
手法就是这么娴熟。,2017-03-06 22:26,,http://weibo.com/1210417191/EyAlUkNvC,尹鸿,1951448,男,北京 海淀区,名人认证,转发,#郎摘新闻#【北京一乐天超市因价格违法被罚50万】 6日，据北京发改委官网一则行政处罚决定书显示，今年1月对该乐天超市的价格行为进行检查。经查实，该单位在销售商品时存在价格违法行为。鉴于其非初犯，应从重处罚。发改委责令其改正违法行为，并决定对其作出警告和罚款50万元的行政处罚。...全文： http://m.weibo.cn/1807715644/4082400063694563 ​,三星 GALAXY S6 edge+,2017-03-06 20:31,段郎说事,http://weibo.com/1807715644/EyzBkfv7J
//@海之渔n:乐天有买卖能抵制，三胖时不时就放炮，可怎么抵制？,2017-03-06 22:19,小米手机,http://weibo.com/2539688144/EyAj63DHV,上善若水_无欲则刚007,7672,男,上海,普通用户,转发,【安徽两地乐天玛特因存在消防隐患 被临时查封】宿州市政府部署开展了大规模消防专项治理工作。2月6日到3月6日，共检查单位1107家，其中，乐天玛特等企业被依法关停。淮南凤台大队在推进“百日除患”消防安全专项整治工作中，于3月5日晚，依法对乐天玛特凤台店予以临时查封。http://t.cn/RiCL8wk ​,微博 weibo.com,2017-03-06 15:48,财经网,http://weibo.com/1642088277/EyxKBb1VX
 //@段郎说事:【外交部回应“20余家乐天超市突然停业”：企业在华经营必须依法合规】我们多次说过，中方欢迎包括韩国企业在内的外国企业在华投资兴业，依法保护外国企业在华合法权益。同时，有关企业在华经营也必须依法合规。http://t.cn/RiCn2IZ,2017-03-06 22:19,iPhone 7,http://weibo.com/1255687540/EyAjgnOza,中一在线,1283139,男,浙江,名人认证,转发,#郎摘新闻#【外交部回应“朝鲜今早发射4颗弹道导弹”：反对其发射活动 有关各方都应保持克制】中方反对朝方违背安理会决议进行有关发射活动。中方也注意到，美韩正在进行针对朝鲜的大规模联合军演。当前形势下，有关各方都应保持克制，不做相互刺激，加剧地区局势紧张的事。 http://t.cn/RiCmOwe ​,三星 GALAXY S6 edge+,2017-03-06 21:50,段郎说事,http://weibo.com/1807715644/EyA7r0tKx
【外交部回应“20余家乐天超市突然停业”：企业在华经营必须依法合规】我们多次说过，中方欢迎包括韩国企业在内的外国企业在华投资兴业，依法保护外国企业在华合法权益。同时，有关企业在华经营也必须依法合规。http://t.cn/RiCn2IZ,2017-03-06 22:18,三星 GALAXY S6 edge+,http://weibo.com/1807715644/EyAiW2Ge8,段郎说事,1087041,男,江西 九江,名人认证,转发,#郎摘新闻#【外交部回应“朝鲜今早发射4颗弹道导弹”：反对其发射活动 有关各方都应保持克制】中方反对朝方违背安理会决议进行有关发射活动。中方也注意到，美韩正在进行针对朝鲜的大规模联合军演。当前形势下，有关各方都应保持克制，不做相互刺激，加剧地区局势紧张的事。 http://t.cn/RiCmOwe ​,三星 GALAXY S6 edge+,2017-03-06 21:50,段郎说事,http://weibo.com/1807715644/EyA7r0tKx
看到评论了没大家 还不快？别的不容易爱国还不容易[噢耶][偷乐] //@广州求职小帮手:系唔系真噶？[酷],2017-03-06 22:15,iPhone 6,http://weibo.com/2162796770/EyAhn63Gf,广州求职小帮手,78746,女,广东 广州,普通用户,转发,凡在乐天玛特主动辞职的员工！凭辞职信到我公司，无需面试，直接上岗！爱国从点滴做起，犯我中华者，虽远必诛！#广州招聘# [嘻嘻] ​,iPhone 6s,2017-03-06 18:43,Spongebbb-,http://weibo.com/2676481690/EyyTloWRY
【中国游客还多吗？新华社记者探访韩国机场乐天免税店】http://t.cn/RiNU7au ​,2017-03-06 22:14,iPhone 6s,http://weibo.com/2318265821/EyAhkEe1F,半月谈杂志社,517602,男,北京 石景山区,媒体认证,原创,,,,,
